sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,33372,280,125,728,1,3349,0.9268548483758839,334.5362684951281,771.690179898327,339.34423872686926
TOTAL,33372,280,125,728,1,3349,0.9268548483758839,334.5362684951281,771.690179898327,339.34423872686926
