sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,33372,280,1,3349,728,339.34423872686926,0.9268548483758839,334.5362684951281,771.690179898327,2362.107844899916
TOTAL,33372,280,1,3349,728,339.34423872686926,0.9268548483758839,334.5362684951281,771.690179898327,2362.107844899916
