sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,118101,767,539,1769,1,5296,0.8612882194054242,1170.4641182941696,2526.9160121214113,710.4297398796839
TOTAL,118101,767,539,1769,1,5296,0.8612882194054242,1170.4641182941696,2526.9160121214113,710.4297398796839
