sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,68462,502,1,3443,1136,424.7426181409115,0.7964272150974263,858.7376448748181,1728.3356706614381,2060.9504396599573
TOTAL,68462,502,1,3443,1136,424.7426181409115,0.7964272150974263,858.7376448748181,1728.3356706614381,2060.9504396599573
